area_fips	annual_avg_emplvl	total_annual_wages
18001	13311	471003476
18003	183107	7905577889
18005	50418	2541729661
18007	2284	81791751
18009	3234	107604192
18011	27720	1109909619
18013	3063	80401118
18015	4978	176161399
18017	14548	512711824
18019	54374	2100663803
18021	7765	251995733
18023	10956	414931056
18025	1990	58876444
18027	11428	391870952
18029	14105	509255838
18031	13704	593872092
18033	21519	937897123
18035	45452	1694732592
18037	29002	1161779181
18039	127535	5841181716
18041	6494	221134140
18043	29406	1210873413
18045	4457	149702311
18047	4502	139952742
18049	6174	223980789
18051	20350	1025730655
18053	27161	1038313480
18055	6296	200187768
18057	136859	6995437722
18059	22825	944682864
18061	10213	355976807
18063	66293	2356355889
18065	13279	442858008
18067	39846	1841542480
18069	14179	504788773
18071	20983	900520794
18073	12068	463567386
18075	7385	251658374
18077	12409	474881664
18079	7177	260382297
18081	51119	1869972335
18083	17513	664068196
18085	37654	1781168264
18087	13364	535726249
18089	186812	8442107094
18091	40381	1540008415
18093	13096	478751245
18095	39183	1431549363
18097	591186	31806984452
18099	19541	710695792
18101	7059	473346092
18103	9479	337967157
18105	61980	2602753940
18107	15313	633889875
18109	16120	607028691
18111	3394	122836515
18113	18097	681773381
18115	1427	36898320
18117	7685	249331006
18119	4470	181507159
18121	3252	99161222
18123	6584	255471617
18125	2969	138348286
18127	59269	2518196994
18129	8333	445681589
18131	4534	177114783
18133	13277	471369231
18135	7367	264652226
18137	12246	524107365
18139	4905	182198851
18141	122570	5228058018
18143	8069	274571360
18145	18158	754366638
18147	6829	249835166
18149	4728	133735518
18151	15637	525545466
18153	5720	213990698
18155	2084	66984067
18157	82899	3740176256
18159	4367	173876112
18161	1299	40737601
18163	106993	4568272452
18165	4388	192541736
18167	48656	1877068972
18169	12485	429610657
18171	1831	69370229
18173	15733	696423116
18175	5922	196665102
18177	29943	1098352536
18179	10821	388650543
18181	9204	334888954
18183	12293	479520768
18999	70007	4248649346
