area_fips	annual_avg_emplvl	total_annual_wages
05001	9897	390766304
05003	6638	275251195
05005	14603	486531735
05007	114646	6263331437
05009	13918	500160657
05011	3691	118979941
05013	2755	140844975
05015	10803	308669701
05017	3238	99248696
05019	9101	304692339
05021	3336	95930433
05023	6548	205395439
05025	963	29502030
05027	8067	307505191
05029	6632	238604693
05031	48620	1811429014
05033	19460	668121418
05035	16503	581625103
05037	4991	162418350
05039	2838	85674024
05041	4577	151515687
05043	6410	216592555
05045	40264	1558638363
05047	4471	157629140
05049	1826	51564513
05051	36361	1260420414
05053	3965	147905372
05055	15354	548113161
05057	7822	264667984
05059	8478	292157391
05061	6977	220385047
05063	15398	548802871
05065	3135	99613020
05067	5317	186369610
05069	28237	1102269910
05071	8623	271524814
05073	1209	39791590
05075	4032	126974071
05077	1970	63182593
05079	2862	92447972
05081	3474	176331726
05083	5538	170494846
05085	14031	469209070
05087	3172	104415441
05089	3814	109513217
05091	12951	493259325
05093	17985	773943339
05095	2140	62617499
05097	1382	37047142
05099	2462	87693201
05101	1106	28005475
05103	7077	231463072
05105	1226	39371998
05107	5464	170268436
05109	2477	72448335
05111	5230	182484630
05113	5835	174173127
05115	26148	1015822188
05117	1484	47707901
05119	247493	11773608786
05121	4871	144980777
05123	7934	270219660
05125	23492	805172814
05127	3068	87589381
05129	1559	40935032
05131	66336	2697305343
05133	4894	154557212
05135	3843	111414801
05137	2552	70476967
05139	17772	818665941
05141	3575	125644943
05143	103088	4577523392
05145	23998	852587934
05147	1778	59402065
05149	6440	194057611
05999	31543	1837231211
